State,Year,NetJobRate
Alabama,2008,-0.378
Alaska,2008,1.057
Arkansas,2008,-3.139
California,2008,-1.296
Colorado,2008,-0.851
Delaware,2008,1.318
District of Columbia,2008,0.51
Florida,2008,0.004
Georgia,2008,1.932
Hawaii,2008,-2.293
Idaho,2008,-0.347
Indiana,2008,-0.173
Iowa,2008,-1.886
Kansas,2008,0.807
Kentucky,2008,-1.278
Louisiana,2008,1.033
Maine,2008,1.052
Maryland,2008,-0.101
Massachusetts,2008,0.288
Michigan,2008,1.131
Minnesota,2008,-0.23
Mississippi,2008,0.097
Missouri,2008,-1.4
Montana,2008,-1.199
Nebraska,2008,0.617
Nevada,2008,0.574
New Hampshire,2008,1.283
New Jersey,2008,0.18
New Mexico,2008,-2.82
New York,2008,3.014
North Carolina,2008,-1.263
North Dakota,2008,-0.2
Ohio,2008,0.986
Oklahoma,2008,-0.139
Oregon,2008,2.642
Pennsylvania,2008,-0.959
Rhode Island,2008,1.774
South Carolina,2008,-0.03
South Dakota,2008,0.527
Texas,2008,-2.885
Utah,2008,0.198
Vermont,2008,2.218
Virginia,2008,0.38
Washington,2008,1.911
West Virginia,2008,1.341
Wisconsin,2008,-0.047
Wyoming,2008,-0.669
